,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
252124,155662.0,-1.92861326665902,4.60150558710842,-7.12405297794577,5.71608803673092,1.0265785454506,-3.18907306708797,-2.26189690158112,1.18509635557546,-4.4419416151592,-6.64615382952148,3.8278680907164,-6.51864882248249,0.25113654845891,-12.4567059527055,-0.649166482109423,-1.28314500024635,-2.71855972503703,-0.0854660890712058,-2.09738547120766,0.328795983029392,0.602290585417557,-0.541287465014078,-0.354639278954951,-0.701492058320209,-0.0309729820836431,0.03406987758686,0.57339303199888,0.294686316081238,0.77,1
174660,122012.0,1.92037363683884,-0.172343733719989,-0.986182812654245,0.665283271692422,-0.213984197803944,-0.509589663345737,-0.374633551072003,-0.001234810463471,0.979950808728275,-0.474720561705771,-0.558508383821893,-0.0839968100996618,-0.312969397381191,-1.20264224990855,0.709311717938714,0.852450223707146,0.399266510624002,0.209247180771808,-0.292597181425308,-0.0845826123692326,-0.308449116162975,-0.915883950964811,0.40972155493502,0.589195737990972,-0.584971997459633,-0.0982861689925751,-0.0168754822513803,0.0006285989266087,46.95,0
173284,121421.0,1.9160622278877,0.657548507417651,-0.708416399911946,3.73861753362182,0.443688852205753,-0.460455931368253,0.37686489750905,-0.278825066628356,-1.24276088429574,1.50961933444313,-0.933551103476278,0.14716545856372,1.03076944101134,0.195287790746379,-0.389353992363778,0.896240875315149,-0.990632602451562,-0.301496260191185,-1.780696633302,-0.196202338149285,0.263980395303773,0.78850129056553,0.0377910786220412,0.0638775799922321,0.137706384150703,0.131564142276089,-0.039220529260709,-0.045951751879717,19.99,0
226131,144504.0,-0.31274541585916,-1.20256489658962,2.24980603870286,-0.297210246284525,-0.963389182111591,1.20753211557917,-0.837775602859564,-0.057654181718958,1.12142125321073,0.744262660719865,-2.05854223567297,-0.137172781732864,0.325085123348704,-2.03105512960987,-1.3802476537007,-2.21208784137676,0.336742335477188,1.55208807655829,0.541062272556288,-0.407310836191412,-0.274386251842056,0.682304914565188,0.43271703855429,0.722363882861367,-1.3941483349504,0.660007283425834,-0.221374420373006,-0.136090282315562,40.0,0
19238,30117.0,1.53521031817955,-0.745414009546186,-0.0257379008689551,-1.26143113673301,-1.24838273326468,-1.52836407585475,-0.406722744273373,-0.468810293347183,-2.28699893101369,1.48282952223591,-0.0996787760034756,-0.597182635250966,0.746822532407051,-0.0966404345318474,0.204025034919046,-0.891165561507267,0.759842819874655,-0.411695772978725,-0.251626587845214,-0.324014611543944,-0.145198784819641,0.0016739137437177,-0.0471572921805117,0.734380953186241,0.652153230563295,-0.105358033088402,-0.0001108644947052,0.0111229360003515,15.0,0
125472,77685.0,-1.17192078824737,1.67166231692081,0.78838511649392,-0.223204664739174,-0.202945065638497,-0.667840435165875,0.391495307532778,0.371095611977565,-0.249702700512758,0.0577127594583489,-0.833601867797194,0.312949327336121,0.841126909184127,0.153951968840757,0.804419142853654,0.39653459256158,-0.463249785609451,-0.264649365410384,0.133589401467767,0.289984388455932,-0.275837728890372,-0.683698207291521,0.00427568658788,-0.124571351161648,0.0269072544438059,0.112743981535604,0.363011934735577,0.171428244102898,9.86,0
71280,54238.0,1.26758268323382,0.457303028970945,-1.48790094814843,1.31358492053841,2.72171628346847,3.42139326470599,-0.0040315191336484,0.715783321541114,-1.18498159937736,0.793904802705661,-0.309739910981232,-0.305040743791692,-0.102202734847642,0.666658763325107,0.397309184142881,0.657600802711005,-0.975353907381233,-0.0518656485757158,-0.517165402768015,-0.0248554658035969,-0.063193950853403,-0.374489515471659,-0.147589971625054,1.002244944979,0.885559541946392,0.0829556353843509,-0.0392218106435422,0.0048115013003079,11.99,0
52840,45673.0,-0.96578436654977,0.655526684582514,2.45370445032673,1.08683211466939,-0.414731410321793,0.554735480802274,0.276691214290878,0.270512061986766,-0.731792059750603,-0.10035474676288,1.65611958933493,0.651525393947481,0.049569083206,0.213525783686915,1.2140045962858,-0.0853167895609342,-0.133220255244678,0.384274628587627,0.471200322493406,0.106334574836516,0.153557392268179,0.382395661892765,-0.09459220076496,0.209259770661706,-0.0077948534286969,-0.290658247008475,0.0078588039558339,0.109515509061312,86.78,0
159545,112627.0,-0.421999768540653,1.20916386415945,0.744173983811341,2.57979079492281,1.37696560553954,0.0062365085204774,1.01447757080604,0.0723522636235265,-2.07016708032488,1.00106994635062,-0.0920747212526034,-0.646648653907261,-0.990175758651113,0.709135590410481,-1.33191204744129,1.17932486738059,-1.31569397804296,0.67145419793334,-1.3970215986154,-0.175028477367141,0.385534936329484,0.894611390525145,-0.227130811372732,-0.371755724495469,-0.304518728397883,0.0509201405848497,0.120785984058017,0.179249218693559,17.23,0
11023,19008.0,1.12329183475384,0.0576585597169713,1.41695142185091,1.55621641664234,-0.88662207907315,-0.137121158021347,-0.602137956095914,-0.0174331530916248,2.11166259375318,-0.592478991422206,0.228894554339698,-1.80314944857846,2.09129254509384,0.996260189790742,-0.602531954915264,0.0313352108522802,0.461188036509808,0.163279412621036,-0.423043146675255,-0.116000715743716,-0.19780227587625,-0.134505177683309,-0.0123807836490696,0.347228246298503,0.399600071653343,-0.451071082254507,0.0452355308453163,0.035787305445968,26.4,0
